round,client,n_train_samples,local_train_loss,local_test_accuracy,local_test_precision,local_test_recall,local_test_f1,local_test_f1_micro,local_test_f1_per_class,local_test_auc,size_weight,performance_weight,adaptive_weight
5,0,3744,1.1028821477013775,0.2154291868209839,0.12539490499618092,0.9285714285714286,0.21544029627012248,0.2395448500073888,"[0.3582089552238806, 0.15732546705998032, 0.3896551724137931, 0.4331103678929766, 0.22537878787878787, 0.24858757062146894, 0.09164969450101833, 0.22537878787878787, 0.24554826616682288, 0.17057569296375266, 0.126, 0.14320987654320988, 0.20153550863723607, 0.0]",0.6204549449691897,0.25,0.2571844929313966,0.25287379717255865
5,1,3744,1.0839150895929743,0.20292727649211884,0.12125539136253012,0.9273399014778325,0.2080573444938048,0.23219268615068292,"[0.3546971027216857, 0.14638971315529178, 0.411864406779661, 0.4172297297297297, 0.22369668246445498, 0.27121771217712176, 0.0720164609053498, 0.23374175306314798, 0.21374045801526717, 0.1254125412541254, 0.12036108324974924, 0.11231101511879049, 0.21012416427889208, 0.0]",0.6076271273081325,0.25,0.2466599208170357,0.24866396832681428
5,2,3744,1.0962252308670273,0.20628143846988678,0.1259776540597119,0.9267857142857142,0.2161088329626672,0.23955594507741748,"[0.3267857142857143, 0.1627450980392157, 0.4064625850340136, 0.44867549668874174, 0.2632066728452271, 0.2389463781749765, 0.09164969450101833, 0.21863117870722434, 0.23040604343720492, 0.1735261401557286, 0.15369458128078817, 0.1319796954314721, 0.17881438289601556, 0.0]",0.604392779785451,0.25,0.24404100997469666,0.24761640398987866
5,3,3744,1.1048881605649605,0.19743862748146057,0.12738251324428354,0.9598370457628328,0.21812283626922885,0.2356613910265718,"[0.35758106923751093, 0.14271555996035679, 0.39724849527085127, 0.44739022369511183, 0.25512104283054005, 0.22873345935727787, 0.0720164609053498, 0.23946360153256704, 0.2222222222222222, 0.18922852983988356, 0.14271555996035679, 0.1351636747624076, 0.2084130019120459, 0.015706806282722512]",0.6143089440432556,0.25,0.25211457627687117,0.2508458305107485
6,0,3744,1.1001870455904903,0.21718250215053558,0.12543878699460603,0.9276785714285715,0.215546042764664,0.23984010659560293,"[0.35758106923751093, 0.15732546705998032, 0.3886500429922614, 0.4331103678929766, 0.22537878787878787, 0.24719101123595505, 0.09164969450101833, 0.22537878787878787, 0.2460093896713615, 0.17062634989200864, 0.126, 0.14720812182741116, 0.20153550863723607, 0.0]",0.6254799883409287,0.25,0.2507379369016573,0.25029517476066293
6,1,3744,1.0797184282897885,0.21420948207378387,0.12179131399989827,0.920082128755598,0.2088639383646969,0.23394768133174793,"[0.3546971027216857, 0.14638971315529178, 0.411864406779661, 0.4172297297297297, 0.22369668246445498, 0.27052238805970147, 0.0720164609053498, 0.23484848484848486, 0.2139446036294174, 0.12172088142707241, 0.12036108324974924, 0.1222366710013004, 0.21456692913385828, 0.0]",0.6120574392561072,0.25,0.240091934677525,0.24603677387101
6,2,3744,1.0946134213708405,0.22122274339199066,0.1272612453916404,0.9229154213986851,0.2181596372143484,0.2424736764051609,"[0.3267857142857143, 0.16290480863591755, 0.4057971014492754, 0.44867549668874174, 0.2632066728452271, 0.23962264150943396, 0.09164969450101833, 0.21863117870722434, 0.2314990512333966, 0.19072164948453607, 0.15369458128078817, 0.1422319474835886, 0.17881438289601556, 0.0]",0.6381724562636573,0.25,0.26101731701248043,0.25440692680499216
6,3,3744,1.0973878452411066,0.2289983183145523,0.12685516449084505,0.9186260959461291,0.21690419151189438,0.24182908545727136,"[0.35758106923751093, 0.14271555996035679, 0.39724849527085127, 0.44739022369511183, 0.25512104283054005, 0.23135755258126195, 0.0720164609053498, 0.24693877551020407, 0.21883920076117983, 0.1373134328358209, 0.14314115308151093, 0.17313432835820897, 0.21386138613861386, 0.0]",0.6222472633504796,0.25,0.24815281140833723,0.24926112456333488
7,0,3744,1.0956127350656395,0.2354779690504074,0.12714574238411572,0.9196217733471429,0.21822305642391937,0.24315146026714965,"[0.35758106923751093, 0.15732546705998032, 0.3896551724137931, 0.43179916317991635, 0.22537878787878787, 0.2492753623188406, 0.09164969450101833, 0.22537878787878787, 0.24554826616682288, 0.17732884399551066, 0.126, 0.17666666666666667, 0.20153550863723607, 0.0]",0.6339006899628955,0.25,0.2563088001243229,0.25252352004972917
7,1,3744,1.0773444623519213,0.21596279740333557,0.12193529036230265,0.9206316040149268,0.20914363929645874,0.23446222553033122,"[0.3546971027216857, 0.14638971315529178, 0.411864406779661, 0.4172297297297297, 0.22369668246445498, 0.27146814404432135, 0.0720164609053498, 0.23450905624404195, 0.2149080348499516, 0.1288135593220339, 0.12060301507537688, 0.11925465838509317, 0.21256038647342995, 0.0]",0.6216435234573746,0.25,0.24649260539537704,0.24859704215815082
7,2,3744,1.0925345851824835,0.21565787494182587,0.1300285211293426,0.937087912087912,0.22266918614330522,0.24139202241392022,"[0.3267857142857143, 0.1627450980392157, 0.4064625850340136, 0.44867549668874174, 0.2632066728452271, 0.2414448669201521, 0.09164969450101833, 0.21863117870722434, 0.23040604343720492, 0.16593886462882096, 0.15369458128078817, 0.1519903498190591, 0.17881438289601556, 0.07692307692307693]",0.6315785298175663,0.25,0.2544343743225661,0.25177374972902644
7,3,3744,1.0943743419443441,0.20643390715122223,0.12470323480743653,0.9257489669421488,0.213552905710693,0.23758605536839023,"[0.35758106923751093, 0.14271555996035679, 0.39692044482463645, 0.44739022369511183, 0.25512104283054005, 0.23346303501945526, 0.0720164609053498, 0.23540489642184556, 0.21863117870722434, 0.13813813813813813, 0.14271555996035679, 0.14123006833712984, 0.2084130019120459, 0.0]",0.616924197726539,0.25,0.242764220157734,0.2471056880630936
8,0,3744,1.0936656928469992,0.23059917986392975,0.1272217391199272,0.924494550434816,0.2180761824476252,0.2424378893642573,"[0.35789473684210527, 0.15732546705998032, 0.4032258064516129, 0.4331103678929766, 0.22537878787878787, 0.24738344433872503, 0.09164969450101833, 0.22818791946308725, 0.24554826616682288, 0.1882640586797066, 0.12612612612612611, 0.14646464646464646, 0.20250723240115717, 0.0]",0.6414411683027322,0.25,0.2543671378180311,0.25174685512721245
8,1,3744,1.0733205375508366,0.20971184968948364,0.12133983554007773,0.9192768925096226,0.20804640996160348,0.23258568361832851,"[0.3546971027216857, 0.14638971315529178, 0.411864406779661, 0.4172297297297297, 0.22369668246445498, 0.2706209453197405, 0.0720164609053498, 0.23228346456692914, 0.2139446036294174, 0.1192468619246862, 0.12060301507537688, 0.11708482676224612, 0.21297192642787996, 0.0]",0.6282721441059376,0.25,0.24402984991205004,0.24761193996482
8,2,3744,1.0884853893365616,0.23113279044628143,0.1280825029766084,0.9179206007651006,0.21937266582590942,0.24415467625899281,"[0.3267857142857143, 0.16306483300589392, 0.4058219178082192, 0.44867549668874174, 0.26454033771106944, 0.2497541789577188, 0.09164969450101833, 0.21863117870722434, 0.2359882005899705, 0.16369359916054566, 0.15369458128078817, 0.16905444126074498, 0.1798631476050831, 0.0]",0.6337934381005841,0.25,0.24833779480800178,0.2493351179232007
8,3,3744,1.0901779053557632,0.20833969116210938,0.12749388819261487,0.9612863211251517,0.21857287440711456,0.23824543387368885,"[0.35758106923751093, 0.14271555996035679, 0.39896373056994816, 0.44739022369511183, 0.25512104283054005, 0.22916666666666666, 0.0720164609053498, 0.23674242424242425, 0.21860019175455417, 0.17048346055979643, 0.14271555996035679, 0.13631522896698617, 0.2084130019120459, 0.043795620437956206]",0.6400502963657259,0.25,0.25326521746191716,0.25130608698476686
