round,client,n_train_samples,local_train_loss,local_test_accuracy,local_test_precision,local_test_recall,local_test_f1,local_test_f1_micro,local_test_f1_per_class,local_test_auc,size_weight,performance_weight,adaptive_weight
8,2,3744,1.0852452053982988,0.2398231476545334,0.1333444513379861,0.931219407252334,0.22730828334904368,0.24557421697684975,"[0.3267857142857143, 0.16290480863591755, 0.4142857142857143, 0.4496253122398002, 0.2632066728452271, 0.24121557454890788, 0.09164969450101833, 0.21863117870722434, 0.2600896860986547, 0.1890547263681592, 0.15369458128078817, 0.1523579201934704, 0.17881438289601556, 0.08]",0.6358891675221143,0.25,0.24863778395905925,0.2494551135836237
8,3,3744,1.087530402495311,0.2360115945339203,0.13156665589925093,0.9661471878856489,0.22470947406580272,0.2435084541062802,"[0.35758106923751093, 0.14271555996035679, 0.4134078212290503, 0.44776119402985076, 0.25512104283054005, 0.23157894736842105, 0.0703205791106515, 0.2358490566037736, 0.23007063572149344, 0.2027231467473525, 0.14271555996035679, 0.15012106537530268, 0.2084130019120459, 0.05755395683453238]",0.6444245007388144,0.25,0.2553573485868168,0.2521429394347267
9,0,3744,1.0875106898637918,0.22854094207286835,0.1267632721763017,0.9218822202362789,0.21734800970627538,0.24183398261911898,"[0.35758106923751093, 0.15581854043392504, 0.40214477211796246, 0.4331103678929766, 0.22537878787878787, 0.2469597754911132, 0.09164969450101833, 0.22537878787878787, 0.24531835205992508, 0.1902439024390244, 0.126, 0.14175257731958762, 0.20153550863723607, 0.0]",0.6306496468635105,0.25,0.24231416650219634,0.24692566660087853
9,1,3744,1.067900217547376,0.2501143515110016,0.1253902694368442,0.9081634872070268,0.21444411029073232,0.24067927441142417,"[0.3546971027216857, 0.14638971315529178, 0.41278065630397237, 0.4187234042553192, 0.22369668246445498, 0.2702702702702703, 0.07456140350877193, 0.23754789272030652, 0.22936763129689175, 0.18613138686131386, 0.12036108324974924, 0.11736526946107785, 0.21032504780114722, 0.0]",0.6390266113850501,0.25,0.2487942733421619,0.24951770933686476
9,2,3744,1.079564604188642,0.24302485585212708,0.13323034313131538,0.9441130420699443,0.22804009316319737,0.2465857359635812,"[0.32737030411449014, 0.16750756811301715, 0.4097646033129904, 0.4496253122398002, 0.2632066728452271, 0.2455795677799607, 0.09164969450101833, 0.21755725190839695, 0.24048096192384769, 0.20357634112792297, 0.15476190476190477, 0.15756035578144853, 0.17881438289601556, 0.0851063829787234]",0.6477612506326158,0.25,0.2556421261981874,0.25225685047927493
9,3,3744,1.0849694704398132,0.23380088806152344,0.13114780172969337,0.9663434735718196,0.22428445364940774,0.24309059417124784,"[0.35758106923751093, 0.14271555996035679, 0.40860215053763443, 0.446843853820598, 0.25512104283054005, 0.23529411764705882, 0.0720164609053498, 0.2358490566037736, 0.23274974253347064, 0.19469026548672566, 0.14314115308151093, 0.14139110604332952, 0.2084130019120459, 0.06557377049180328]",0.6447227511016267,0.25,0.2532494339574545,0.2512997735829818
10,0,3744,1.0858183985082512,0.24233877658843994,0.13206640433718345,0.927610910325985,0.2253455056683744,0.244814223843173,"[0.3623445825932504, 0.1584754262788365, 0.40106951871657753, 0.4331103678929766, 0.22537878787878787, 0.24765478424015008, 0.09164969450101833, 0.22537878787878787, 0.24621212121212122, 0.24242424242424243, 0.12612612612612611, 0.13942307692307693, 0.20153550863723607, 0.05405405405405406]",0.647560962040859,0.25,0.2492665840663966,0.24970663362655865
10,1,3744,1.0644275448261162,0.2416526973247528,0.12395515828837804,0.9091364986294996,0.21184143625734356,0.23781795893349678,"[0.3577386468952734, 0.1687344913151365, 0.41379310344827586, 0.4172297297297297, 0.22369668246445498, 0.27121771217712176, 0.07209062821833162, 0.23574144486692014, 0.2139446036294174, 0.12956419316843346, 0.12036108324974924, 0.13154362416107382, 0.21012416427889208, 0.0]",0.6415761235219618,0.25,0.24468037042112797,0.24787214816845118
10,2,3744,1.0760934183230766,0.22793108224868774,0.1635230910186536,0.9363646256083972,0.23946880625231345,0.24406627854903717,"[0.32737030411449014, 0.16354679802955666, 0.40718562874251496, 0.44867549668874174, 0.26159554730983303, 0.24585365853658536, 0.09164969450101833, 0.21863117870722434, 0.23171889838556506, 0.1702127659574468, 0.15670103092783505, 0.16489361702127658, 0.17881438289601556, 0.2857142857142857]",0.650069186238645,0.25,0.25120131254070105,0.25048052501628043
10,3,3744,1.0817817873424953,0.24256746470928192,0.13089091524985466,0.9299819331405725,0.2235092558798348,0.24521422060164083,"[0.3585237258347979, 0.14414414414414414, 0.40671971706454463, 0.44739022369511183, 0.25512104283054005, 0.2326923076923077, 0.0720164609053498, 0.24031007751937986, 0.22309197651663404, 0.19213973799126638, 0.14328358208955225, 0.15265200517464425, 0.2084130019120459, 0.05263157894736842]",0.6547755048023101,0.25,0.2548517329717744,0.25194069318870976
11,0,3744,1.0783043908767211,0.2451593279838562,0.12883238698846539,0.9188875931819174,0.22039718996913318,0.24538942234415487,"[0.3585237258347979, 0.18159509202453988, 0.4159702878365831, 0.4331103678929766, 0.22537878787878787, 0.25, 0.09164969450101833, 0.22537878787878787, 0.24554826616682288, 0.16753926701570682, 0.12612612612612611, 0.1632047477744807, 0.20153550863723607, 0.0]",0.6559266306651041,0.25,0.24885492157880576,0.2495419686315223
11,1,3744,1.0582726255950765,0.23463942110538483,0.1234758908902281,0.9144745236063947,0.21146885289103282,0.2378928191893123,"[0.3546971027216857, 0.1561822125813449, 0.41695501730103807, 0.4172297297297297, 0.22369668246445498, 0.2725563909774436, 0.0720164609053498, 0.2361904761904762, 0.21379980563654033, 0.12698412698412698, 0.12072434607645875, 0.13447782546494993, 0.21505376344086022, 0.0]",0.6568840934373235,0.25,0.24958196394612145,0.24983278557844857
11,2,3744,1.072712447347804,0.2565940022468567,0.13680981392193284,0.9352803634194418,0.2308853868463874,0.24694980694980695,"[0.3276633840644584, 0.16550348953140578, 0.4528301886792453, 0.45539507221750214, 0.2632066728452271, 0.24053030303030304, 0.09202453987730061, 0.22009569377990432, 0.24917309812568908, 0.26217228464419473, 0.15553339980059822, 0.13844515441959532, 0.17881438289601556, 0.031007751937984496]",0.6528691432004088,0.25,0.2465403411529914,0.24861613646119657
11,3,3744,1.0767122912610698,0.2318951040506363,0.13132014465022132,0.9575147694010138,0.22447300816833107,0.24297520661157024,"[0.35789473684210527, 0.1496881496881497, 0.4181313598519889, 0.44739022369511183, 0.25512104283054005, 0.22938388625592418, 0.0720164609053498, 0.23629489603024575, 0.22028985507246376, 0.17516339869281045, 0.14271555996035679, 0.14903846153846154, 0.2084130019120459, 0.08108108108108109]",0.6640054266767875,0.25,0.25502277332208145,0.2520091093288326
12,0,3744,1.0702094146838554,0.25994816422462463,0.13322358021126957,0.9313288081760989,0.22803522550525712,0.24779172477917247,"[0.35789473684210527, 0.19241192411924118, 0.3951048951048951, 0.432296047098402, 0.22537878787878787, 0.25048923679060664, 0.09214659685863874, 0.22559241706161137, 0.24531835205992508, 0.23137876386687797, 0.12740141557128412, 0.14035087719298245, 0.2017291066282421, 0.075]",0.6714068407665353,0.25,0.25348269100895626,0.2513930764035825
12,1,3744,1.0521085712135347,0.2984448969364166,0.132746390583518,0.935484344651207,0.2259260730678272,0.24989811720596625,"[0.353045013239188, 0.18043202033036848, 0.4261682242990654, 0.4205128205128205, 0.22369668246445498, 0.27171903881700554, 0.08576329331046312, 0.23631123919308358, 0.23732718894009217, 0.22790697674418606, 0.12036108324974924, 0.11303344867358708, 0.21113243761996162, 0.05555555555555555]",0.6618400294884986,0.25,0.2463104551145268,0.24852418204581073
12,2,3744,1.0667710695511257,0.26795244216918945,0.13681690009981995,0.9466311291258468,0.2318056047362321,0.2500585708707536,"[0.32825112107623317, 0.16683417085427135, 0.44377510040160645, 0.44867549668874174, 0.2634508348794063, 0.241674595623216, 0.09164969450101833, 0.24647887323943662, 0.25601750547045954, 0.2347266881028939, 0.15784008307372793, 0.1547911547911548, 0.1798631476050831, 0.03125]",0.6584117014758439,0.25,0.24376529037341887,0.24750611614936754
12,3,3744,1.069579690745753,0.2591858506202698,0.1341835976633087,0.9424308143547274,0.22712760818412983,0.24561403508771928,"[0.35758106923751093, 0.15848214285714285, 0.4398699891657638, 0.44739022369511183, 0.25512104283054005, 0.2300380228136882, 0.0720164609053498, 0.2554585152838428, 0.22310756972111553, 0.1732484076433121, 0.14619289340101524, 0.1540436456996149, 0.2084130019120459, 0.058823529411764705]",0.6753140966442389,0.25,0.2564415635030982,0.25257662540123926
13,0,3744,1.0613784932173216,0.2656655013561249,0.13527721387327576,0.945722048208805,0.23040303729833253,0.24853732740463375,"[0.3591549295774648, 0.18181818181818182, 0.4316831683168317, 0.4321608040201005, 0.22537878787878787, 0.24719101123595505, 0.09193054136874361, 0.23694779116465864, 0.25252525252525254, 0.2280130293159609, 0.12817904374364192, 0.14583333333333334, 0.20153550863723607, 0.06329113924050633]",0.6830033232032314,0.25,0.2546472321797929,0.25185889287191715
13,1,3744,1.044098546464219,0.2886110544204712,0.13526949332354446,0.9461855625198751,0.22810693185897563,0.24547218628719275,"[0.3546971027216857, 0.15835140997830802, 0.4475374732334047, 0.4197952218430034, 0.22369668246445498, 0.27281279397930386, 0.07257203842049093, 0.24568527918781727, 0.2639455782312925, 0.2242152466367713, 0.12158054711246201, 0.1211372064276885, 0.21113243761996162, 0.056338028169014086]",0.6732018443834937,0.25,0.24739101409104466,0.24895640563641785
13,2,3744,1.0578614379096234,0.27115413546562195,0.1382660852032575,0.9484573605988602,0.23336016255057,0.25064660239830705,"[0.32727272727272727, 0.17893544733861835, 0.4671689989235737, 0.4485049833887043, 0.2634508348794063, 0.23939679547596607, 0.09164969450101833, 0.23, 0.25740318906605925, 0.2347266881028939, 0.17067833698030635, 0.14130434782608695, 0.17881438289601556, 0.03773584905660377]",0.6706191365738956,0.25,0.2454964468672285,0.24819857874689139
13,3,3744,1.0575883596371383,0.25499314069747925,0.13410026322146523,0.9178420201179419,0.22686158806334172,0.24666615277884837,"[0.35883905013192613, 0.15667074663402691, 0.4134790528233151, 0.44739022369511183, 0.25512104283054005, 0.22922636103151864, 0.0720164609053498, 0.2399232245681382, 0.21863117870722434, 0.15077605321507762, 0.16666666666666666, 0.15324675324675324, 0.20881226053639848, 0.10526315789473684]",0.6800708972743185,0.25,0.252465306861934,0.2509861227447736
