round,client_id,accuracy,precision,recall,f1_score,auc_roc,num_samples
15,2,0.9823619631901841,0.9908350305498982,0.9858156028368794,0.9883189436262062,0.9987055698848437,1304
15,3,0.9854294478527608,0.9908256880733946,0.9898167006109979,0.9903209373408048,0.9988804695702774,1304
15,4,0.9861963190184049,0.9936373276776246,0.9873551106427819,0.9904862579281184,0.9994271212098725,1304
16,1,0.9846625766871165,0.9905759162303664,0.9885057471264368,0.9895397489539749,0.9984672321947488,1304
16,2,0.9861963190184049,0.9898887765419616,0.9918946301925026,0.9908906882591093,0.998839807081971,1304
16,3,0.9884969325153374,0.9918616480162767,0.9928716904276986,0.9923664122137404,0.9991967211040973,1304
16,4,0.9892638036809815,0.9926238145416227,0.9926238145416227,0.9926238145416227,0.999531011145906,1304
17,1,0.9800613496932515,0.9774358974358974,0.9958202716823407,0.9865424430641822,0.9984762661896718,1304
17,2,0.9854294478527608,0.984,0.9969604863221885,0.9904378459989934,0.9989516714129104,1304
17,3,0.9800613496932515,0.9760956175298805,0.9979633401221996,0.9869083585095669,0.9993485218403309,1304
17,4,0.9884969325153374,0.9854469854469855,0.9989462592202318,0.9921507064364207,0.9995725671203194,1304
18,1,0.9838957055214724,0.9814814814814815,0.9968652037617555,0.9891135303265941,0.9985816627971055,1304
18,2,0.9869631901840491,0.9869477911646586,0.9959473150962512,0.9914271306101866,0.9991242620949313,1304
18,3,0.9831288343558282,0.9809619238476954,0.9969450101832994,0.9888888888888889,0.9994212596931095,1304
18,4,0.99079754601227,0.9885297184567258,0.9989462592202318,0.9937106918238994,0.9996675522046929,1304
19,1,0.9877300613496932,0.9957850368809273,0.987460815047022,0.9916054564533053,0.9985937081236693,1304
19,2,0.9838957055214724,0.9918533604887984,0.9868287740628167,0.98933468765871,0.9992041651884593,1304
19,3,0.9861963190184049,0.9918367346938776,0.9898167006109979,0.9908256880733946,0.9994718599385207,1304
19,4,0.99079754601227,0.9989350372736954,0.9884088514225501,0.9936440677966102,0.9997773787084997,1304
20,1,0.9869631901840491,0.9947368421052631,0.987460815047022,0.9910854745673833,0.998789444680332,1304
20,2,0.9869631901840491,0.9928861788617886,0.9898682877406282,0.991374936580416,0.999245714797094,1304
20,3,0.99079754601227,0.9948979591836735,0.9928716904276986,0.9938837920489296,0.9995667353986667,1304
20,4,0.9938650306748467,0.9989395546129375,0.9926238145416227,0.9957716701902748,0.9997773787084997,1304
21,1,0.9877300613496932,0.996832101372756,0.9864158829676071,0.9915966386554622,0.998792456011973,1304
21,2,0.9861963190184049,0.9948927477017364,0.9868287740628167,0.9908443540183113,0.9994470705927851,1304
21,3,0.9884969325153374,0.9948822927328557,0.9898167006109979,0.9923430321592649,0.9996299857054307,1304
21,4,0.9900306748466258,0.997872340425532,0.9884088514225501,0.9931180518793012,0.9997862835601597,1304
22,1,0.9884969325153374,0.9885892116182573,0.9958202716823407,0.9921915668922436,0.9987954673436139,1304
22,2,0.9892638036809815,0.9909182643794148,0.9949341438703141,0.9929221435793731,0.9995397581812777,1304
22,3,0.99079754601227,0.98989898989899,0.9979633401221996,0.9939148073022313,0.9997153736195621,1304
22,4,0.9923312883435583,0.9916230366492147,0.9978925184404637,0.9947478991596639,0.9998931417800799,1304
23,1,0.9900306748466258,0.9968421052631579,0.9895506792058516,0.9931830099632931,0.9989972265635587,1304
23,2,0.9900306748466258,0.9949186991869918,0.9918946301925026,0.9934043632673769,0.9996292496460294,1304
23,3,0.9930981595092024,0.9939086294416244,0.9969450101832994,0.9954245043213015,0.9997849489570024,1304
23,4,0.995398773006135,0.9989417989417989,0.9947312961011591,0.996832101372756,0.9999139197672866,1304
24,1,0.9884969325153374,0.9875776397515528,0.9968652037617555,0.9921996879875195,0.999135747819043,1304
24,2,0.9900306748466258,0.9889558232931727,0.9979736575481256,0.9934442763489663,0.9996516225122172,1304
24,3,0.9854294478527608,0.9819819819819819,0.9989816700610998,0.9904088844018173,0.9997912739876789,1304
24,4,0.9923312883435583,0.9905956112852664,0.9989462592202318,0.9947534102833159,0.9999465708900399,1304
25,1,0.9923312883435583,0.9937434827945777,0.9958202716823407,0.9947807933194155,0.999223076436631,1304
25,2,0.9923312883435583,0.9959390862944163,0.993920972644377,0.9949290060851927,0.9996771915021461,1304
25,3,0.9938650306748467,0.9939148073022313,0.9979633401221996,0.9959349593495935,0.9999146120858686,1304
25,4,0.9969325153374233,0.9989440337909187,0.9968387776606955,0.9978902953586498,0.9999317294706066,1304
26,1,0.9900306748466258,0.9896265560165975,0.9968652037617555,0.9932326913066112,0.999223076436631,1304
